Reference,Value,MFG,MPN,Mouser
J2,USB2.0_C,JAE Electronics,DX07S016JA1R1500,656-DX07S016JA1R1500
R1,22R,Vishay,MCT06030C2209FP500,594-MCT06030C2209FP5
R2,22R,Vishay,MCT06030C2209FP500,594-MCT06030C2209FP5
R14,5k1,Vishay,MCT06030C5101FP500,594-MCT06030C5101FP5
R15,5k1,Vishay,MCT06030C5101FP500,594-MCT06030C5101FP5
R3,1k5,Vishay,MCT06030C1501FP500,594-MCT06030C1501FP5
C1,1u,Samsung Electro-Mechanics,CL10B105MO8NNWC,187-CL10B105MO8NNWC
C18,1u,Samsung Electro-Mechanics,CL10B105MO8NNWC,187-CL10B105MO8NNWC
C11,1u,Samsung Electro-Mechanics,CL10B105MO8NNWC,187-CL10B105MO8NNWC
C8,1u,Samsung Electro-Mechanics,CL10B105MO8NNWC,187-CL10B105MO8NNWC
C14,1u,Samsung Electro-Mechanics,CL10B105MO8NNWC,187-CL10B105MO8NNWC
U1,PCM2912A,Texas Instruments,PCM2912APJTR,595-PCM2912APJTR
C7,0.1u,Samsung Electro-Mechanics,CL10B104KO8NNNC,187-CL10B104KO8NNNC
C17,1u,Samsung Electro-Mechanics,CL10B105MO8NNWC,187-CL10B105MO8NNWC
R8,3k3,Vishay,MCT06030C3301FP500,594-MCT06030C3301FP5
C13,100u,Nichicon,UWT1V101MCL1GS,647-UWT1V101MCL1S
C9,1u,Samsung Electro-Mechanics,CL10B105MO8NNWC,187-CL10B105MO8NNWC
J1,XLR4M,Neutrik,NC4MAH,568-NC4MAH
X1,6MHz,Abracon LLC,ABMM-6.000MHZ-B2-T,815-ABMM-6-B2-T
C3,22p,Samsung Electro-Mechanics,CL10C220JB8NNNC,187-CL10C220JB8NNNC
C2,22p,Samsung Electro-Mechanics,CL10C220JB8NNNC,187-CL10C220JB8NNNC
R4,1M,Vishay,MCT06030C1004FP500,594-MCT06030C1004FP5
R10,22R,Vishay,MCT06030C2209FP500,594-MCT06030C2209FP5
R7,22R,Vishay,MCT06030C2209FP500,594-MCT06030C2209FP5
C6,1u,Samsung Electro-Mechanics,CL10B105MO8NNWC,187-CL10B105MO8NNWC
